DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200312;Feuerwache Grinzing;Wien;49000001;48.2615305;16.3324948
60200314;Fickeysstraße;Wien;49000001;48.1670432;16.4237097
60200315;Filmteichstraße;Wien;49000001;48.1526258;16.3968501
60200316;Finsterbuschstraße Nord;Wien;49000001;48.1734596;16.4978297
60200317;Billgasse;Wien;49000001;48.2244388;16.4833578
60200318;Löschniggasse;Wien;49000001;48.222763;16.4805371
60200319;1. Haidequerstraße Mitte;Wien;49000001;48.1824927;16.4291984
60200320;Dammhaufengasse;Wien;49000001;48.195752;16.4470749
60200321;Pfarrgasse/Traviatagasse;Wien;49000001;48.1424845;16.3431308
60200322;Zimbagasse;Wien;49000001;48.2061821;16.2190735
60200323;Auhof;Wien;49000001;48.2074873;16.2190375
60200324;1. Haidequerstraße Süd;Wien;49000001;48.1812349;16.428363
60200325;Giefinggasse;Wien;49000001;48.26824;16.4259016
60200327;Kaltenleutgebner Straße 16/141;Wien;49000001;48.1273407;16.2292604
60200329;Fischergrund;Wien;49000001;48.2160834;16.4409214
60200330;Fichtnergasse;Wien;49000001;48.1871225;16.2888816
60200331;Florian-Geyer-Gasse;Wien;49000001;48.1569347;16.3918015
60200332;Florian-Hedorfer-Straße;Wien;49000001;48.1656172;16.4312555
60200333;Florianigasse;Wien;49000001;48.2127912;16.345682
60200334;Floridsdorf;Wien;49000001;48.2567938;16.4002996
60200335;Joseph-Lister-Gasse;Wien;49000001;48.175143;16.2695318
60200336;Flotowgasse;Wien;49000001;48.2405889;16.3383608
60200337;Flugfeldstraße;Wien;49000001;48.2156584;16.5043335
60200338;Baumgartner Friedhof, 5. Tor;Wien;49000001;48.2038353;16.2788564
60200339;Flötzersteigbrücke;Wien;49000001;48.2067389;16.2906423
60200340;Mauerbachstraße/Baumschule;Wien;49000001;48.2181245;16.2178967
60200341;Forsthausgasse;Wien;49000001;48.2452493;16.375021
60200342;Frachtenbahnhof Lobau Hafen;Wien;49000001;48.1878891;16.4753449
60200343;Franz-Asenbauer-Gasse;Wien;49000001;48.1547414;16.2712566
60200344;Klinik Favoriten;Wien;49000001;48.1749153;16.348889
60200345;Franz-Josefs-Bahnhof;Wien;49000001;48.2259888;16.361151
60200346;Klinik Landstraße;Wien;49000001;48.1966442;16.3908583
60200347;Franz-Pletersky-Weg;Wien;49000001;48.213288;16.4507131
